"Always","Siempre"
"After number of attempts to login","Tras varios intentos de iniciar sesión"
"Provided form does not exist","El formulario proporcionado no existe"
"Incorrect CAPTCHA","CAPTCHA incorrecto"
"Incorrect CAPTCHA.","CAPTCHA incorrecto."
"Please enter the letters from the image","Por favor, introduce las letras de la imagen"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Aviso</strong>: Captcha es sensible a mayúsculas."
"Reload captcha","Recargar captcha"
"Please type the letters below","Por favor, escriba las letras de abajo"
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Habilitar CAPTCHA en admin"
"Font","Tipo de letra"
"Forms","Formularios"
"Displaying Mode","Modo de visualización"
"Number of Unsuccessful Attempts to Login","Número de intentos fallidos de iniciar sesión"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si se especifica 0, el CAPTCHA siempre estará disponible en el formulario de inicio de sesión."
"CAPTCHA Timeout (minutes)","Tiempo de espera de CAPTCHA (minutos)"
"Number of Symbols","Número de símbolos"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Especifique un máximo de 8 símbolos. Se permiten intervalos (por ejemplo 3-5)"
"Symbols Used in CAPTCHA","Símbolos usados en CAPTCHA"
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ","
Utilice sólo letras (a-z o A-Z) o números (0-9) en este campo. Sin espacios u otros caracteres se permiten. <br /> caracteres similares (por ejemplo, ""i"", ""l"", ""1"") disminuyen posibilidades de reconocimiento correcto por el cliente.                    "
"Case Sensitive","Sensible a mayúsculas"
"Enable CAPTCHA on Storefront","Habilitar CAPTCHA en tienda"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Si así se elige, el CAPTCHA estará siempre en funcionamiento en los formularios de ""Nuevo usuario"" y ""Olvido de contraseña""."
