"Gift Card Information","Información de la tarjeta de regalo"
"Virtual","Virtual"
"Physical","Physical"
"Combined","Combined"
"Add Amount","Add Amount"
"All Websites","Todos sitios web"
"Gift Card Type","Gift Card Type"
"Gift Card Sender","Gift Card Sender"
"Gift Card Recipient","Gift Card Recipient"
"Gift Card Message","Gift Card Message"
"Gift Card Lifetime","Gift Card Lifetime"
"Yes","Sí"
"No","No 	"
"Gift Card Is Redeemable","Gift Card Is Redeemable"
"We cannot create this gift card.","We cannot create this gift card."
"N/A","N/A"
"Gift Card Accounts","Cuentas de la tarjeta de regalo"
"Duplicate amount found.","Monto se encontró dos veces."
"Something went wrong while preparing the gift card.","Something went wrong while preparing the gift card."
"Please specify a gift card amount.","Please specify a gift card amount."
"Please specify all the required information.","Please specify all the required information."
"Gift Card max amount is %1","Gift Card max amount is %1"
"Gift Card min amount is %1","Gift Card min amount is %1"
"Please specify a recipient name.","Please specify a recipient name."
"Please specify a sender name.","Please specify a sender name."
"Please specify a recipient email.","Please specify a recipient email."
"Please specify a sender email.","Please specify a sender email."
"Ordered","Pedido realizado."
"Invoiced","Facturado"
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>."
"Availability:","Disponibilidad:"
"Out of stock","No está disponible"
"Amount","Importe"
"Choose an Amount...","Choose an Amount..."
"Other Amount...","Other Amount..."
"Amount in %1","Amount in %1"
"Minimum","Mínimo"
"Maximum","Máximo"
"Sender Name","Nombre del remitente"
"Sender Email","Correo electrónico del remitente"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Message","Message"
"Maximum length of the message is %1 characters.","Maximum length of the message is %1 characters."
"Quantity","Cantidad"
"Messaging and Lifetime","Messaging and Lifetime"
"Treat Balance as Store Credit","Treat Balance as Store Credit"
"Use Config Settings","Usar opciones de configuración"
"Lifetime (days)","Lifetime (days)"
"Allow Message","Allow Message"
"Email Template","Plantilla de email"
"Website","Página web"
"Action","Acción"
"Delete Amount","Delete Amount"
"Delete","Borrar"
"From","Desde"
"Minimum: %1","Minimum: %1"
"Maximum: %1","Maximum: %1"
"Availability","Disponibilidad"
"In stock","Disponible"
"%name,","%name,"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases."
"Gift Card Codes:","Gift Card Codes:"
"Gift Card Code:","Gift Card Code:"
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>."
"Click on the code(s) above to redeem them into Store Credit.","Click on the code(s) above to redeem them into Store Credit."
"Message from %sender_name:","Message from %sender_name:"
"Gift Card Email Settings","Gift Card Email Settings"
"Gift Card Notification Email Sender","Gift Card Notification Email Sender"
"Gift Card Notification Email Template","Gift Card Notification Email Template"
"Gift Card General Settings","Gift Card General Settings"
"Redeemable","Redeemable"
"If empty no expiration.","If empty no expiration."
"Allow Gift Message","Allow Gift Message"
"Gift Message Maximum Length","Gift Message Maximum Length"
"Generate Gift Card Account when Order Item is","Generate Gift Card Account when Order Item is"
