"Search Term","Término de búsqueda"
"Results","Resultados"
"Uses","Usos"
"Search Terms","Términos de búsqueda"
"Search","Buscar"
"Add New Search Term","Añadir nuevo término de búsqueda"
"Save Search","Guardar búsqueda"
"Delete Search","Borrar búsqueda"
"Edit Search '%1'","Edit Search '%1'"
"New Search","Nueva búsqueda"
"Search Information","Información de búsqueda"
"General Information","Información general"
"No","No 	"
"Yes","Sí"
"Search Query","Búsqueda"
"Store","Tienda"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (colocado por última vez)"
"For the last time placed.","Para la última vez que se ha colocado."
"Number of Uses","Número de usos"
"Synonym For","Sinónimo para"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Redirect URL","Redirigir URL"
"ex. http://domain.com","por ejemplo, http://dominio.es"
"Display in Suggested Terms","Mostrar en términos sugeridos"
"You deleted the search.","You deleted the search."
"We can't find a search term to delete.","We can't find a search term to delete."
"This search no longer exists.","Esta búsqueda ya no existe."
"Edit Search","Editar búsqueda"
"Please select searches.","Please select searches."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"Reports","Informes"
"Search Terms Report","Search Terms Report"
"You saved the search term.","You saved the search term."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You already have an identical search term query.","You already have an identical search term query."
"Your search query can't be longer than %1, so we shortened your query.","Your search query can't be longer than %1, so we shortened your query."
"Search entire store here...","Busque aquí por toda la tienda..."
"There are no search terms available.","No hay términos de búsqueda disponibles."
"Search Engine","Search Engine"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","ID"
"Hits","Visitas"
"Delete","Borrar"
"Are you sure?","¿Seguro que quiere continuar?"
"Synonym","Sinónimos"
"Suggested Terms","Suggested Terms"
"yes","yes"
"no","no"
"Action","Acción"
"Edit","Editar"
