"We cannot retrieve the payment method model object.","We cannot retrieve the payment method model object."
"Month","Mes"
"Year","Año"
"We cannot retrieve the payment info model object.","We cannot retrieve the payment info model object."
"N/A","N/D"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Switch/Solo/Maestro Issue Number","Número de expedición de Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Fecha de inicio de Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.","We cannot retrieve the transparent payment method model object."
"Command %1 does not exist.","Command %1 does not exist."
"Wrong gateway response format.","Wrong gateway response format."
"Validator for field %1 does not exist.","Validator for field %1 does not exist."
"Discount","Descuento"
"Shipping","Envío"
"All Allowed Countries","Todos los paises aceptados"
"Specific Countries","Países específicos"
"The payment method you requested is not available.","The payment method you requested is not available."
"The payment disallows storing objects.","The payment disallows storing objects."
"We cannot retrieve the payment method code.","We cannot retrieve the payment method code."
"We cannot retrieve the payment information object instance.","We cannot retrieve the payment information object instance."
"You can't use the payment type you selected to make payments to the billing country.","You can't use the payment type you selected to make payments to the billing country."
"The order action is not available.","Realizar pedido no está disponible."
"The authorize action is not available.","Realizar autorización no está disponible."
"The capture action is not available.","Realizar captura no está disponible."
"The refund action is not available.","Realizar devuelto no está disponible."
"The void action is not available.","Realizar anulación no está disponible."
"The payment review action is unavailable.","La acción de revisión de pago no está disponible."
"The credit card number doesn't match the credit card type.","The credit card number doesn't match the credit card type."
"Invalid Credit Card Number","Número de tarjeta de crédito inválido"
"This credit card type is not allowed for this payment method.","Este tipo de tarjeta no se acepta para este método de pago."
"Please enter a valid credit card verification number.","Por favor, introduzca un número de verificación de tarjeta de crédito que está válido."
"Please enter a valid credit card expiration date.","Por favor, introduzca una fecha de caducidad de tarjeta de crédito que está válida."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","Clade %1 no implementa \Magento\Payment\Model\MethodInterface"
"Yes","Sí"
"No","No 	"
"Expiration Date","Fecha de vencimiento"
"Card Verification Number","Número de verificación de tarjeta"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro únicamente"
"Issue Number","Número de caso"
"Start Date","Fecha inicio"
" is not available. You still can process offline actions."," no está disponible. Usted puede continuar fuera de línea."
"Please Select","Por favor, seleccione"
"We'll ask for your payment details before you place an order.","We'll ask for your payment details before you place an order."
"--Please Select--","--Por favor seleccione--"
"Card Verification Number Visual Reference","Kartenprüfnummer"
"What is this?","¿Qué es esto?"
"Credit Card Information","Información de tarjeta de crédito"
"Payment Methods","Métodos de pago"
