"You saved the alert subscription.","You saved the alert subscription."
"There are not enough parameters.","There are not enough parameters."
"We can't update the alert subscription right now.","We can't update the alert subscription right now."
"Alert subscription has been saved.","Alerta de suscripción guardada."
"You deleted the alert subscription.","You deleted the alert subscription."
"We can't find the product.","No se puede encontrar el artículo."
"You will no longer receive price alerts for this product.","Usted no recibirá más alertas de precio para este artículo."
"Unable to update the alert subscription.","Imposible actualizar la suscripción de alerta."
"You will no longer receive stock alerts for this product.","Usted no recibirá más alertas de existencias para este artículo."
"The product was not found.","No se encontró el artículo."
"You will no longer receive stock alerts.","Usted no recibirá más alertas de existencias."
"Invalid block type: %1","Invalid block type: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","Price change alert! We wanted you to know that prices have changed for these products:"
"Price:","Precio:"
"Click here to stop alerts for this product.","Click here to stop alerts for this product."
"Unsubscribe from all price alerts","Darse de baja de todas las alertas de precio"
"In stock alert! We wanted you to know that these products are now available:","In stock alert! We wanted you to know that these products are now available:"
"Unsubscribe from all stock alerts","Darse de baja de todas las alertas de existencias"
"Product alerts cron warnings","Product alerts cron warnings"
"%name,","%name,"
"Product Alerts","Alertas de artículo"
"Allow Alert When Product Price Changes","Permitir aviso cuando el precio del artículo cambie"
"Allow Alert When Product Comes Back in Stock","Avisar cuando el artículo vuelva a estar en existencias."
"Price Alert Email Template","Plantilla de correo eléctronico de alerta de precio"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Stock Alert Email Template","Plantilla de correo electrónico de alerta de existencias"
"Alert Email Sender","Alerta de correo electrónico del remitente"
"Product Alerts Run Settings","Configuración de la función de alertas de artículo"
"Frequency","Frecuencia"
"Start Time","Tiempo de inicio"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Sign up for price alert","Incribirse para alerta de precio"
"Sign up to be notified when this product is back in stock.","Sign up to be notified when this product is back in stock."
